Distance, Theta
10.995708, 0.001868
11.367775, 0.001656
10.919603, 0.002850
10.944973, -0.003743
11.232479, -0.004357
10.956247, 0.005035
11.218386, -0.003960
11.068994, -0.006576
11.066175, 0.002965
11.345226, -0.005832
10.967521, -0.004196
11.305764, 0.002876
11.159192, -0.000462
11.083088, -0.010408
11.319857, -0.016738
10.933697, -0.015935
11.373413, -0.013875
11.049265, -0.018365
11.424150, -0.022931
10.956247, -0.025188
11.424150, -0.018432
10.891417, -0.016697
11.181742, -0.022954
11.094362, -0.028369
11.181743, -0.024691
10.975977, -0.021902
11.274759, -0.015296
11.105637, -0.025527
11.221204, -0.033829
11.283215, -0.027712
10.857593, -0.024412
11.176105, -0.031078
10.919604, -0.027744
11.364958, -0.026849
10.956246, -0.025179
11.114094, -0.028773
11.224023, -0.029666
11.136642, -0.029447
11.370594, -0.028130
10.950609, -0.023088
11.164829, -0.029494
11.018257, -0.035282
11.207109, -0.030368
11.167648, -0.023346
10.936516, -0.021825
11.176105, -0.031563
11.145099, -0.033832
11.209929, -0.026165
10.928060, -0.025406
11.021076, -0.023382
11.131006, -0.031389
11.246572, -0.030592
11.455155, -0.027589
10.829407, -0.022358
11.232478, -0.028848
10.866049, -0.029189
11.356501, -0.031206
11.077451, -0.027654
11.255028, -0.023647
10.990071, -0.027978
11.373413, -0.031443
10.913966, -0.027922
11.319858, -0.020542
10.964704, -0.023414
11.105638, -0.028615
11.395962, -0.030047
10.975978, -0.019996
11.190198, -0.013423
10.933698, -0.016509
11.142280, -0.017984
11.257846, -0.014163
10.784307, -0.011082
11.342407, -0.004011
10.959065, -0.008195
11.302946, -0.011000
11.162011, -0.005782
10.567268, -0.004352
11.218385, -0.006723
10.832224, -0.003035
11.159192, -0.006817
11.105637, -0.002054
11.218385, -0.000186
10.789944, -0.002339
11.088725, 0.004674
11.066175, -0.003378
11.302945, -0.010575
10.854774, -0.000839
11.277577, 0.003349
10.843499, 0.001990
11.249391, -0.001156
11.240934, -0.004522
11.178923, -0.002321
10.863230, 0.003033
11.359320, 0.003799
11.049263, 0.000086
11.280396, -0.002857
10.885779, -0.001695
11.277578, -0.001224
11.015439, 0.006287
11.260665, 0.002804
11.156374, -0.011123
11.376231, -0.002933
10.770213, -0.001333
11.263484, 0.004626
11.021076, 0.007161
11.111275, -0.009942
11.339589, -0.007314
10.688470, 0.002303
11.336770, 0.004656
10.981615, 0.001171
11.195836, -0.003096
11.001345, 0.000450
11.229659, 0.003303
10.784307, 0.004819
11.314219, 0.001664
11.023896, -0.005880
11.249392, -0.002007
11.116912, -0.002588
10.928061, 0.000453
11.291671, 0.003136
10.975978, -0.003219
11.474886, -0.002379
10.857593, 0.003839
11.221204, 0.000780
10.905511, 0.001532
11.373413, -0.002503
11.153555, -0.002604
11.252210, 0.001375
10.885779, -0.000922
11.370594, 0.003916
11.068994, 0.001409
11.176105, -0.007586
11.009802, 0.000934
11.333951, 0.000394
10.928061, 0.005733
11.280397, 0.004282
11.111275, -0.008596
11.246572, -0.003196
10.947791, 0.003755
11.418512, 0.006187
10.984434, 0.001272
11.136643, -0.008083
11.122550, -0.005384
11.037989, 0.006789
11.212748, 0.006646
10.964704, -0.004115
11.176105, -0.006959
11.252209, -0.001755
10.742026, 0.000727
11.317039, 0.005130
10.818130, 0.002591
11.308583, -0.004013
10.928060, -0.000294
11.235297, -0.002336
10.784307, 0.001206
11.269121, 0.002806
11.004164, -0.005313
11.410055, -0.003247
10.798401, -0.000114
11.274759, 0.002339
10.897054, 0.004749
11.286035, -0.004429
11.083088, -0.000958
11.184561, 0.001598
10.899873, 0.003344
11.328315, 0.004354
11.091543, -0.002054
11.184561, -0.004302
11.212748, 0.000303
10.849136, -0.001894
11.390326, 0.003102
11.012621, -0.001362
11.339588, -0.004587
10.792762, 0.001408
11.283215, 0.001159
10.899873, 0.003437
11.133824, 0.003023
11.122549, -0.008368
11.091543, 0.000726
11.243754, 0.002608
10.747663, -0.000459
11.235296, 0.003116
11.288853, -0.005040
10.877323, -0.003754
11.317039, -0.000078
10.866049, 0.003180
11.266302, 0.001879
11.238115, -0.004968
11.023896, -0.004711
11.319859, 0.000599
10.902692, 0.005857
11.356501, 0.002390
11.122549, -0.003367
11.350863, -0.001189
10.809675, 0.002746
11.356501, 0.002630
10.973159, 0.003941
11.311402, -0.003907
11.097181, -0.001312
11.266303, -0.001212
10.885779, -0.002470
11.424149, -0.000773
10.928061, -0.005971
11.387506, -0.009441
10.804037, 0.000594
11.274759, 0.005612
10.928060, -0.005208
11.328315, -0.006832
11.060538, -0.013355
11.274758, -0.019076
10.902691, -0.014680
11.125368, -0.012705
11.190199, -0.021833
11.187380, -0.020126
11.240935, -0.013820
10.798400, -0.018449
11.243753, -0.023900
10.863230, -0.022502
11.348044, -0.021712
11.043626, -0.018235
11.322677, -0.014459
10.894236, -0.026200
11.308583, -0.025648
10.888598, -0.022708
11.322678, -0.018810
11.077450, -0.016604
11.145099, -0.025743
11.198654, -0.027219
11.294490, -0.017327
10.764575, -0.016670
11.145099, -0.027899
11.052082, -0.026219
11.204292, -0.022241
10.939335, -0.021897
11.246572, -0.018163
11.001345, -0.027313
11.136643, -0.028901
11.271940, -0.023313
10.863230, -0.023135
11.271940, -0.019342
10.970341, -0.022919
11.373413, -0.026508
11.066176, -0.022370
11.077451, -0.022184
11.325496, -0.022757
10.970341, -0.023202
11.291671, -0.026205
11.077451, -0.022728
11.271939, -0.021538
11.009802, -0.024664
11.336770, -0.025534
10.894236, -0.026058
11.269121, -0.021179
11.131005, -0.021154
11.238115, -0.023460
10.916785, -0.024637
11.235298, -0.019647
10.956246, -0.018291
11.176104, -0.021469
11.142281, -0.029690
11.184561, -0.032625
10.990071, -0.023598
11.364957, -0.016551
10.877323, -0.021357
11.249391, -0.025437
11.224022, -0.020969
10.815312, -0.018946
11.274759, -0.019920
10.970341, -0.019155
11.122549, -0.023297
11.404418, -0.017133
10.902692, -0.015528
11.224022, -0.024686
10.933698, -0.026899
11.322677, -0.030237
10.973160, -0.031581
11.367775, -0.032369
10.990071, -0.037060
11.131005, -0.035720
11.342408, -0.031899
10.911147, -0.027552
11.218385, -0.030847
11.159192, -0.036068
10.975978, -0.039085
11.373413, -0.032143
10.826587, -0.023851
11.133824, -0.030459
11.362139, -0.039844
11.184561, -0.033886
10.708202, -0.033164
11.142281, -0.035266
10.942153, -0.033442
11.139462, -0.042233
11.359320, -0.036596
11.164829, -0.028933
11.029533, -0.037410
11.035170, -0.038588
11.314220, -0.036182
10.919604, -0.028689
11.204291, -0.033598
11.032351, -0.040991
11.221203, -0.040232
10.984433, -0.034476
11.111275, -0.028206
10.936516, -0.034783
11.294489, -0.039861
10.975978, -0.034876
10.973159, -0.032269
11.308582, -0.033051
10.829406, -0.035320
11.257847, -0.043413
11.085907, -0.035676
11.176105, -0.029848
11.215566, -0.034415
11.085907, -0.036865
11.311401, -0.033720
11.066175, -0.028138
11.006984, -0.040509
11.167648, -0.054683
11.023895, -0.073097
11.049263, -0.089309
11.156373, -0.096630
10.220570, -0.110420
10.942154, -0.239218
11.173286, -0.180636
10.260031, -0.139737
10.034535, -0.136384
11.131006, -0.143505
10.429152, -0.086672
11.136642, -0.088101
11.094363, -0.079556
10.093728, -0.008738
10.967522, 0.048680
11.156374, 0.040644
10.076815, 0.030295
11.159193, 0.007873
10.959066, -0.023662
11.150737, -0.004699
11.553810, -0.000726
10.200837, -0.002629
10.178288, -0.002367
10.305129, -0.002103
10.564449, 0.053332
10.990071, 0.035777
10.158557, 0.026640
11.291670, 0.039457
10.874505, 0.043252
11.156373, 0.026437
11.288852, 0.021995
10.276943, 0.016270
11.511529, 0.033191
11.286033, 0.046550
11.621457, 0.039001
10.006349, 0.022713
11.410057, 0.039791
11.362138, 0.048686
11.260666, 0.045031
11.384688, 0.033708
11.288853, 0.035958
11.339589, 0.049998
11.283215, 0.048829
11.190198, 0.032914
11.593271, 0.038938
11.350863, 0.056590
11.224023, 0.054635
11.283215, 0.043466
11.238115, 0.044270
11.390325, 0.049207
11.097181, 0.055648
11.418512, 0.048639
11.032351, 0.038333
11.379049, 0.045773
11.066176, 0.059239
11.311401, 0.045261
10.902692, 0.041037
11.364958, 0.042334
11.300127, 0.057442
10.885779, 0.052737
11.184561, 0.043271
11.274759, 0.037437
11.006984, 0.051922
11.049264, 0.064358
11.142281, 0.037443
11.207110, 0.039393
11.283215, 0.051014
11.080269, 0.057936
11.339589, 0.045890
10.905510, 0.042939
11.432606, 0.044886
10.908330, 0.050212
11.122549, 0.045422
11.381868, 0.033849
10.967522, 0.019289
11.187379, 0.030693
10.899873, 0.024545
11.204291, 0.001976
11.379050, 0.014395
10.572906, 0.018993
11.170468, 0.016153
10.804037, 0.010703
11.159193, 0.003938
11.029533, 0.007489
11.277577, 0.007574
10.837862, 0.007393
11.336769, 0.007535
10.984433, 0.005198
11.300127, 0.000705
11.023895, 0.001850
11.373413, 0.007514
10.806855, 0.005949
11.246572, 0.002497
11.004164, 0.001937
11.469248, -0.001420
10.784307, 0.001749
11.302945, 0.004607
11.015439, 0.001673
11.209929, -0.000178
11.156373, -0.007986
11.305763, 0.002084
10.911148, 0.008889
11.294489, -0.000328
10.933698, -0.000151
11.302945, -0.003522
10.849136, 0.000317
11.269122, 0.004474
10.998528, 0.001294
11.280396, 0.000308
10.894236, -0.000842
11.243753, -0.002862
10.891417, 0.000384
11.393145, 0.001869
10.987252, 0.001360
10.990070, -0.003274
11.381869, 0.000253
10.812494, 0.002446
11.331132, -0.000575
10.928061, 0.003158
10.651829, 0.005190
11.238115, -0.010715
11.026714, -0.005274
11.288852, 0.007104
11.006983, 0.004576
10.995708, 0.000328
11.410057, -0.004313
10.809674, -0.000850
11.333952, 0.001887
10.913966, -0.000978
11.235297, -0.001592
10.961884, -0.001512
11.350864, 0.001722
10.806856, 0.004143
11.218386, -0.001541
11.164829, -0.002210
11.049264, -0.003460
11.317039, 0.000713
10.973159, 0.003533
11.379050, 0.001361
11.029533, -0.001310
11.288852, -0.001954
10.959065, -0.001192
11.472067, 0.002272
10.826587, 0.001338
11.356501, 0.002216
11.063357, -0.000928
10.866048, -0.002149
11.333952, 0.001842
10.846317, 0.001298
11.221205, -0.004100
11.012620, -0.002399
11.424150, -0.002239
10.849136, 0.001774
11.350863, 0.003427
10.998527, 0.000203
11.345226, -0.000287
10.818130, -0.002647
11.240934, 0.000593
10.987253, 0.002916
11.232479, -0.001471
10.964703, -0.001465
11.150737, -0.000705
10.975979, 0.000792
11.350863, 0.001263
11.088725, -0.001568
11.145099, 0.000757
11.390326, 0.001574
10.944972, -0.000090
11.421330, 0.001277
10.860412, -0.002775
11.288853, -0.005500
10.992889, -0.001067
11.255028, 0.000100
10.981615, 0.004305
11.331133, 0.001356
11.009802, 0.000526
11.384687, -0.000427
10.885780, -0.000562
11.345226, 0.002408
10.967522, 0.002535
11.294490, -0.002258
10.978796, -0.001209
11.255028, 0.000392
10.911147, 0.004687
11.263484, 0.003326
11.032351, -0.005248
11.235298, -0.003269
10.913967, -0.004340
11.418512, -0.002281
10.744845, 0.000652
11.345226, 0.002037
11.040808, 0.001272
11.243754, -0.001379
10.998527, 0.001586
11.404419, 0.002784
11.001347, -0.001584
11.046445, -0.000692
11.305764, -0.001274
10.930879, 0.000683
11.339588, 0.001939
10.846318, -0.002470
11.350863, -0.002169
10.851956, -0.002848
11.302946, -0.000792
10.942154, 0.002504
11.286033, 0.001990
11.066176, -0.001415
11.147919, -0.000264
11.026713, 0.004143
11.364956, 0.004534
10.942154, -0.000478
11.381869, -0.000113
10.947790, -0.003833
11.162011, -0.003292
11.023896, -0.001863
11.181742, 0.002305
11.193017, -0.003865
11.015440, -0.000876
11.350864, 0.001828
10.981615, 0.005363
10.891418, -0.000567
11.153555, -0.002518
11.294490, 0.001558
10.809675, -0.000823
11.297308, -0.001269
10.964703, 0.001198
11.142281, -0.003268
11.131005, 0.002251
10.964703, 0.000690
11.198654, -0.002504
11.122549, 0.002492
11.288853, 0.000397
11.102818, -0.001573
11.314220, 0.000789
10.919603, 0.003820
11.097181, -0.000247
11.271940, -0.001467
11.091544, -0.003341
11.260665, -0.001420
10.939335, 0.001837
11.333951, 0.002681
10.992891, -0.000764
11.302945, 0.000291
10.953428, 0.001179
11.280396, -0.000237
10.973160, 0.000128
11.201472, 0.000566
11.260665, -0.003756
10.882960, -0.004013
11.252209, -0.000388
10.897055, 0.003143
11.263484, 0.000097
11.108457, -0.003093
11.317039, -0.000090
10.820950, -0.000068
11.252209, 0.002364
10.868868, 0.000726
11.336770, -0.003133
10.961884, -0.000492
11.302946, -0.000302
10.877323, 0.003145
11.257847, 0.004342
11.037989, -0.002546
11.094363, -0.001891
11.286034, -0.001095
10.933698, 0.002646
11.342407, 0.003950
11.088725, -0.005669
11.068995, -0.003290
11.221204, 0.002022
10.990070, 0.000324
11.271940, 0.001644
10.959065, -0.001374
11.133824, -0.002131
11.043626, -0.000547
11.266303, 0.000145
10.784307, 0.003025
11.153556, -0.001362
11.209929, -0.003586
10.863231, -0.000447
11.317039, 0.001065
10.953428, 0.004215
11.269122, 0.001271
11.060538, -0.002878
11.252209, 0.001776
10.840680, 0.000030
11.350863, 0.002889
11.006983, 0.000716
11.319858, -0.003418
10.947791, -0.000283
11.302946, 0.000451
10.880142, 0.002666
11.280396, 0.000961
11.077451, -0.007897
11.001347, -0.005187
11.286034, 0.000189
10.849136, 0.003288
11.195836, 0.004031
11.077451, -0.003882
11.246572, -0.000441
10.908329, 0.001329
11.286034, 0.001605
10.942154, 0.002496
11.116913, -0.003261
11.108457, -0.001557
11.286034, 0.000243
10.942153, 0.000445
11.260665, 0.002474
11.032351, -0.001087
11.288853, -0.003483
10.882960, 0.001127
11.350863, 0.000609
10.885779, 0.002071
11.274758, 0.000368
11.049263, -0.004253
11.153556, -0.003201
10.975978, 0.006966
11.156374, 0.003916
11.193017, -0.004280
11.128187, -0.005873
11.288852, 0.001720
10.888598, 0.002501
11.283216, 0.001246
11.071813, 0.002952
11.122550, -0.006017
11.060538, -0.002417
11.009802, 0.005004
11.255028, 0.006015
11.026714, -0.004557
11.246572, -0.004451
10.837863, 0.001991
11.091543, 0.000841
11.029533, 0.000213
11.173285, 0.000937
11.037989, -0.001206
11.283215, 0.002731
10.835043, -0.001351
11.260666, -0.002641
11.006983, 0.002061
11.229659, -0.000703
11.040808, 0.002265
11.170467, -0.003194
10.756120, -0.003014
11.142281, 0.000223
11.097181, -0.005347
11.232478, -0.000794
10.866049, -0.000591
11.257847, -0.002754
10.975979, 0.004063
11.294490, 0.000690
11.167648, 0.002320
11.232478, 0.005670
10.913967, 0.004634
11.156374, 0.016619
11.305764, 0.012536
11.215566, 0.015329
11.032352, 0.021954
11.218385, 0.017312
10.815313, 0.018229
11.308584, 0.020701
10.975978, 0.016994
11.418512, 0.012440
10.978796, 0.019019
11.269122, 0.020821
11.204291, 0.017005
10.953427, 0.024176
11.302946, 0.023262
11.026713, 0.023221
11.314220, 0.020310
11.023895, 0.020674
11.209929, 0.023988
10.970340, 0.020538
11.212748, 0.023412
11.314220, 0.023341
10.961885, 0.022241
11.342407, 0.023867
10.871685, 0.023257
11.331134, 0.024771
11.142281, 0.023428
11.221204, 0.019531
10.995708, 0.017317
11.255028, 0.026154
10.888599, 0.020318
11.111275, 0.017133
11.009803, 0.027766
11.009802, 0.023874
11.376232, 0.024933
10.995708, 0.023245
11.209929, 0.020011
11.342406, 0.029670
10.944971, 0.026258
11.280396, 0.023572
10.992889, 0.022652
11.142281, 0.019948
11.057720, 0.015511
11.376231, 0.024372
10.928060, 0.018242
11.006984, 0.013306
10.919604, 0.027149
11.249391, 0.022815
11.170467, 0.022650
11.105638, 0.027847
11.328314, 0.020001
10.846317, 0.017719
11.226841, 0.026687
10.922422, 0.022304
11.294489, 0.022351
10.894236, 0.029021
11.229660, 0.021801
10.795581, 0.025930
11.198654, 0.022775
11.162011, 0.021239
11.023895, 0.028813
11.102819, 0.019138
10.871687, 0.020229
11.331132, 0.025121
10.992889, 0.019675
11.429788, 0.019498
10.947791, 0.027107
11.243753, 0.022595
11.145099, 0.020729
11.266302, 0.024969
11.066175, 0.017582
11.100000, 0.026522
11.018258, 0.024501
11.243752, 0.017379
11.094363, 0.029488
11.159193, 0.019217
11.054901, 0.016900
11.398781, 0.019184
10.942154, 0.018171
11.367775, 0.020150
10.868868, 0.024492
11.243753, 0.026336
11.291672, 0.029848
11.142281, 0.041872
11.102818, 0.049473
11.128187, 0.060409
11.441061, 0.077877
11.100000, 0.115523
11.052082, 0.130025
10.908330, 0.129760
11.252210, 0.139125
10.792763, 0.161766
11.097181, 0.151442
11.012621, 0.126219
11.040808, 0.105979
10.736389, 0.072849
10.750483, 0.057105
10.795582, 0.026836
11.336769, 0.049840
11.300126, 0.077368
10.068359, 0.019948
10.674378, -0.001540
10.719477, 0.003890
11.249391, -0.007989
10.375596, 0.004748
11.111275, 0.021269
11.345226, 0.022997
11.435424, 0.009227
10.589817, -0.001585
11.314220, 0.009527
11.359319, 0.018922
11.508711, 0.002949
11.291671, 0.000946
11.548171, 0.006275
11.432605, 0.018108
11.703199, 0.009066
11.446699, -0.002830
11.503073, 0.000510
11.142281, 0.006715
11.590452, 0.005997
11.328314, -0.003581
11.370595, 0.004464
11.215567, 0.006006
10.928060, -0.002076
11.441061, -0.004223
11.116912, -0.002902
11.446699, -0.000855
11.029532, 0.005354
11.325496, 0.003036
10.795582, -0.006828
11.074632, -0.018080
10.990071, -0.028961
10.586998, -0.064739
11.037989, -0.137168
10.508076, -0.108138
10.606730, -0.213914
10.167014, -0.181015
10.725114, -0.138007
10.519350, -0.131992
10.522168, -0.137635
10.186745, -0.136560
10.809675, -0.179426
10.671559, -0.154800
11.108456, -0.169275
10.223388, -0.139346
10.485525, -0.295463
10.866049, -0.153576
11.286034, -0.149104
11.114094, -0.134126
10.646191, -0.074887
10.415058, -0.058350
10.327679, -0.115056
10.637734, -0.320939
11.139462, -0.144279
10.885779, -0.099776
10.823768, -0.098555
11.505892, -0.094777
10.640553, -0.072203
11.257846, -0.104669
10.894236, -0.122924
11.908964, -0.064982
10.307948, -0.055526
10.911148, -0.055885
10.840681, -0.035011
10.057085, -0.049712
10.009167, -0.097097
10.496800, -0.057038
10.671560, 0.002099
10.014805, 0.014676
10.214931, -0.043221
10.694109, -0.045556
12.063992, -0.041331
10.575725, -0.032068
11.255028, -0.022805
11.404419, -0.013290
10.276943, 0.006004
11.370595, 0.001090
10.183926, 0.011348
11.658100, 0.007521
10.750482, 0.003629
10.181107, 0.018329
11.322677, 0.050900
11.548172, 0.051877
10.477070, 0.047232
10.956246, 0.070519
11.646826, 0.087870
10.062722, 0.075281
11.652463, 0.101251
11.607365, 0.109290
11.297309, 0.094324
11.438243, 0.091157
10.925241, 0.103178
10.995709, 0.107447
11.009802, 0.096027
11.023895, 0.094990
10.392509, 0.098670
10.665922, 0.092618
10.711020, 0.087203
10.375597, 0.081500
10.471432, 0.074736
10.099365, 0.081781
10.313585, 0.080204
10.003531, 0.079304
10.347410, 0.074867
11.559446, 0.097937
10.499619, 0.080718
11.477705, 0.099290
11.804673, 0.092896
11.511528, 0.091963
11.669374, 0.094854
11.455154, 0.082330
11.737024, 0.078178
11.353682, 0.050260
11.649645, 0.034487
11.283214, 0.019363
11.336771, 0.029190
11.156375, 0.050669
10.448883, 0.049017
10.465794, 0.007917
11.294489, -0.001383
11.500255, -0.016783
10.674378, -0.010563
11.314221, 0.015240
11.294490, 0.021870
11.142281, -0.000073
11.311402, 0.005908
11.057720, 0.010067
11.514348, 0.020989
11.559446, 0.017166
10.006349, 0.012608
11.274758, 0.025053
11.381868, 0.034567
11.522803, 0.033799
11.229659, 0.023456
11.548172, 0.029783
11.364957, 0.043063
11.319859, 0.027341
11.240934, 0.028787
11.446698, 0.031988
11.263484, 0.044462
11.472067, 0.036735
11.142281, 0.030377
11.350863, 0.026651
11.136643, 0.040846
11.412875, 0.038102
11.240934, 0.025000
11.212748, 0.032951
11.209929, 0.032865
10.897055, 0.034585
11.356501, 0.036515
11.071814, 0.032924
11.364957, 0.031020
11.091544, 0.043143
11.308582, 0.036387
11.128186, 0.027387
11.204291, 0.034101
10.863231, 0.032451
11.317039, 0.036498
11.150736, 0.034921
11.331133, 0.030562
10.866049, 0.032095
11.373413, 0.036268
10.857592, 0.033247
11.359320, 0.026628
11.040808, 0.036341
11.145098, 0.019439
10.894236, 0.018163
11.195835, 0.015953
11.085907, 0.009255
11.224022, 0.009083
10.851955, 0.015465
11.142281, 0.014262
10.987252, 0.015006
